자치센터명,population,tour_info,shop_info,food_info,domi_info,toilet_info,school_info,oil_info,jejumart_info,tourlist_flu,people_flu,recharge_shop
애월읍,35004,95,7,87,114,29,22,12,20,21.93053274,33.65070843,27
조천읍,16045,81,8,73,62,16,6,16,19,20.32477648,29.75606005,30
한림읍,24389,55,9,63,67,17,10,6,18,18.76010313,29.12406282,18
구좌읍,35004,101,17,107,128,27,10,9,11,18.58027371,26.39614665,19
한경면,23812,52,3,26,35,16,8,3,9,15.61424108,23.74483922,13
추자면,9239,24,0,3,4,24,1,1,3,10.21834136,14.63369343,0
우도면,2215,14,2,59,29,10,1,2,5,13.3591885,14.67046886,0
건입동,10085,12,1,11,2,0,0,9,0,16.03130162,26.90212996,9
노형동,55021,27,9,74,44,52,4,17,20,26.2594216,41.68728367,28
도두동,3104,7,1,12,18,2,0,3,0,13.01817133,21.42875994,7
봉개동,3964,19,0,7,2,2,2,5,0,14.57823414,21.47736779,7
삼도1동,14657,1,0,5,5,0,0,2,0,15.89587282,27.56831448,2
삼도2동,8937,8,0,15,4,0,0,0,0,16.146079,25.84407173,4
삼양동,22981,7,0,6,4,3,0,5,1,12.50756351,24.80903888,3
아라동,31089,21,4,31,6,1,1,7,4,18.16681522,33.16177293,22
연동,43428,12,4,59,33,0,0,11,10,28.71059472,42.22621649,26
오라동,13715,7,0,16,1,2,0,10,4,15.4361739,26.58227634,9
외도동,20964,4,0,7,12,2,2,7,0,13.91834543,27.4791813,7
용담1동,7927,2,2,9,1,1,0,4,0,14.631627,24.28513436,0
용담2동,16027,8,4,22,22,1,0,14,0,20.72167498,29.31360003,8
이도1동,8053,1,7,6,4,2,0,0,0,16.0804581,27.93924431,2
이도2동,51037,1,5,57,4,3,1,13,2,21.06527313,39.65588183,12
이호동,4291,5,1,6,10,0,0,3,0,8.973071133,16.38187283,3
일도1동,3191,2,7,11,2,2,0,0,0,14.24435836,22.89612899,0
일도2동,35516,6,2,9,0,3,0,4,0,17.60495497,32.37436579,5
화북동,25807,7,0,4,1,2,0,13,0,15.42360613,30.36213257,4
남원읍,19791,51,2,26,47,24,7,9,35,16.28251457,29.17877832,17
대정읍,1903,49,5,39,32,32,5,8,31,16.69167388,28.13972619,10
성산읍,16864,56,4,93,77,38,8,10,33,21.27004533,28.25951328,27
안덕면,11858,90,2,76,67,17,5,9,19,18.78601776,26.9108341,18
표선면,12650,54,1,38,34,22,5,4,21,17.12477162,26.76675287,20
대륜동,13568,20,3,14,36,15,3,5,5,15.46232643,24.48042062,7
대천동,13235,17,1,8,27,19,3,5,4,16.51479099,24.9799658,11
동홍동,23954,4,2,12,4,15,1,5,14,16.70727399,30.67378079,10
서홍동,10765,20,1,4,6,12,0,5,1,14.10794795,24.91295801,7
송산동,5001,6,0,4,10,5,1,0,2,13.01794129,16.00524957,1
영천동,5350,13,0,6,9,14,1,7,4,12.00469451,23.72060311,7
예래동,4073,34,0,24,28,15,1,5,6,18.61471819,23.60197508,13
서귀동,10333,19,7,49,29,29,6,4,51,12.73651305,32.85468779,10
중문동,10964,42,4,37,36,34,1,4,8,17.85364458,28.26720496,16
효돈동,5401,10,0,15,3,20,1,5,4,10.53220184,20.57029179,4
